entity	type	topic
treatisespractically 27	DATE	philthis
Wembley Stadium	PERSON	ukfestivities.txt
Grace	PERSON	firstdraft.txt
Far From the Tree	WORK OF ART	firstdraft.txt
Young Peoples Literature	PERSON	firstdraft.txt
2017	DATE	firstdraft.txt
Plotinus	PERSON	philthis
Charlie	PERSON	philthis
pig	PRODUCT	philthis
1600s	DATE	philthis
Thomas Hobbes	PERSON	philthis
Plutarch	PERSON	philthis
Joaquin	PERSON	firstdraft.txt
Far from the Tree	WORK OF ART	firstdraft.txt
Pyrrho	PERSON	philthis
Cancun	GPE	kevin.txt
Kevin	PERSON	kevin.txt
San Diego	GPE	kevin.txt
Spanish	LANGUAGE	kevin.txt
foraging	CONCEPT	moveyourdna.txt
UK	GPE	ukfestivities.txt
3	CARDINAL	moveyourdna.txt
Maya	PERSON	firstdraft.txt
Lauren	PERSON	firstdraft.txt
UK	GPE	ukfestivities.txt
Maya	PERSON	firstdraft.txt
Spanish	LANGUAGE	kevin.txt
Joaquin	PERSON	firstdraft.txt
Whole Body Barefoot	WORK OF ART	moveyourdna.txt
Sam	PERSON	moveyourdna.txt
ten	CARDINAL	philthis
ten	CARDINAL	philthis
November	DATE	ukfestivities.txt
forage	CONCEPT	moveyourdna.txt
Kevin	PERSON	kevin.txt
Mexico--	GPE	kevin.txt
Plato	PERSON	philthis
Far from the Tree	WORK OF ART	firstdraft.txt
Maya	PERSON	firstdraft.txt
Mexico	GPE	kevin.txt
Emmy & Oliver	WORK OF ART	firstdraft.txt
Chinese	PERSON	chapo
foraging	CONCEPT	moveyourdna.txt
tranquility	CONCEPT	philthis
San Diego	GPE	kevin.txt
Far from the Tree	WORK OF ART	firstdraft.txt
three	QUANTITY	firstdraft.txt
four thousand	CARDINAL	firstdraft.txt
the Renaissance	DATE	philthis
Middle Ages	DATE	philthis
the Renaissance	DATE	philthis
Middle Ages	DATE	philthis
Mexico	GPE	firstdraft.txt
Kathy's	PERSON	kevin.txt
Cove Drive	FACILITY	kevin.txt
Saturday	DATE	firstdraft.txt
Hellenistic Age	DATE	philthis
two	QUANTITY	firstdraft.txt
Latino	GPE	firstdraft.txt
Mexican	NORP	firstdraft.txt
Hispanic	NORP	firstdraft.txt
21	CARDINAL	kevin.txt
Jeep	PRODUCT	kevin.txt
Mexico	GPE	kevin.txt
Aztecs	NORP	kevin.txt
Mayan	PERSON	kevin.txt
labor	CONCEPT	moveyourdna.txt
Emmy & Oliver	WORK OF ART	firstdraft.txt
two	CARDINAL	moveyourdna.txt
Grace	PERSON	firstdraft.txt
Maya	PERSON	firstdraft.txt
22	CARDINAL	kevin.txt
Thomas Hobbes	PERSON	philthis
Unshoes	PERSON	moveyourdna.txt
Venn Design	PERSON	moveyourdna.txt
Rome	GPE	philthis
Kevin	PERSON	kevin.txt
Michel de Montaigne	PERSON	philthis
Maimonides	PERSON	philthis
ten thousand	CARDINAL	philthis
labor	CONCEPT	moveyourdna.txt
Mexico	GPE	kevin.txt
Seneca	PERSON	philthis
Epictetus	PERSON	philthis
Marcus Aurelius	PERSON	philthis
Plutarch	PERSON	philthis
Athenian	GPE	philthis
wisdom	CONCEPT	philthis
Diwali	EVENT	ukfestivities.txt
Deepavali	NORP	ukfestivities.txt
Festival of Lights	EVENT	ukfestivities.txt
Hindu	CONCEPT	ukfestivities.txt
Sikh	PERSON	ukfestivities.txt
Jain	NORP	ukfestivities.txt
Stephen West	PERSON	philthis
Haute cuisine	CONCEPT	moveyourdna.txt
labor	CONCEPT	moveyourdna.txt
Marcus Aurelius	PERSON	philthis
emperor of Rome	PERSON	philthis
emperor of Rome	PERSON	philthis
Stoicism	CONCEPT	philthis
Seneca	PERSON	philthis
Epictetus	PERSON	philthis
stoicism	CONCEPT	philthis
Philosophy	PERSON	philthis
Hellenistic Stoicism	DATE	philthis
Roman Stoics	PERSON	philthis
Seneca	PERSON	philthis
Epictetus	PERSON	philthis
Marcus Aurelius	PERSON	philthis
Sophists	CONCEPT	philthis
Sam	PERSON	moveyourdna.txt
Billy Joe	PERSON	moveyourdna.txt
Wild Food Cookbook	WORK OF ART	moveyourdna.txt
Boxing Day	EVENT	ukfestivities.txt
Jerry Seinfeld	PERSON	philthis
